Date,Open,High,Low,Close,Adj Close,Volume
2017-09-25,149.990005,151.830002,149.160004,150.550003,150.550003,44387300
2017-09-26,151.779999,153.919998,151.690002,153.139999,153.139999,36660000
2017-09-27,153.800003,154.720001,153.539993,154.229996,154.229996,25504200
2017-09-28,153.889999,154.279999,152.699997,153.279999,153.279999,22005500
2017-09-29,153.210007,154.130005,152.000000,154.119995,154.119995,26299800
2017-10-02,154.259995,154.449997,152.720001,153.809998,153.809998,18698800
2017-10-03,154.009995,155.089996,153.910004,154.479996,154.479996,16230300
2017-10-04,153.630005,153.860001,152.460007,153.479996,153.479996,20163800
2017-10-05,154.179993,155.440002,154.050003,155.389999,155.389999,21283800
2017-10-06,154.970001,155.490005,154.559998,155.300003,155.300003,17407600
2017-10-09,155.809998,156.729996,155.490005,155.839996,155.839996,16262900
2017-10-10,156.059998,158.000000,155.100006,155.899994,155.899994,15617000
2017-10-11,155.970001,156.979996,155.750000,156.550003,156.550003,16905600
2017-10-12,156.350006,157.369995,155.729996,156.000000,156.000000,16125100
2017-10-13,156.729996,157.279999,156.410004,156.990005,156.990005,16394200
2017-10-16,157.899994,160.000000,157.649994,159.880005,159.880005,24121500
2017-10-17,159.779999,160.869995,159.229996,160.470001,160.470001,18997300
2017-10-18,160.419998,160.710007,159.600006,159.759995,159.759995,16374200
2017-10-19,156.750000,157.080002,155.020004,155.979996,155.979996,42584200
2017-10-20,156.610001,157.750000,155.960007,156.250000,156.250000,23845900
2017-10-23,156.889999,157.690002,155.516205,156.169998,156.169998,18670571
